	prompt	prediction	gold_elin	gold_lena	gold_oscar	gold_agg
0		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
1		NA	EXPLICIT	NA	NA	NA
2		IMPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
3		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
4		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
5		IMPLICIT	NA	NA	IMPLICIT	NA
6		NA	NA	IMPLICIT	EXPLICIT	NA
7		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
8		EXPLICIT	NA	EXPLICIT	IMPLICIT	NA
9		IMPLICIT	NA	IMPLICIT	EXPLICIT	NA
10		EXPLICIT	EXPLICIT	NA	EXPLICIT	EXPLICIT
11		EXPLICIT	NA	EXPLICIT	NA	NA
12		NA	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
13		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
14		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
15		EXPLICIT	NA	EXPLICIT	NA	NA
16		EXPLICIT	NA	NA	NA	NA
17		IMPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
18		EXPLICIT	NA	EXPLICIT	EXPLICIT	NA
19		NA	NA	NA	NA	NA
20		EXPLICIT	NA	EXPLICIT	NA	NA
21		IMPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
22		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
23		NA	NA	EXPLICIT	IMPLICIT	NA
24		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
25		IMPLICIT	NA	NA	EXPLICIT	NA
26		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
27		NA	NA	NA	NA	NA
28		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
29		IMPLICIT	NA	NA	EXPLICIT	NA
30		NA	IMPLICIT	NA	NA	NA
31		EXPLICIT	NA	EXPLICIT	IMPLICIT	NA
32		EXPLICIT	IMPLICIT	EXPLICIT	IMPLICIT	IMPLICIT
33		IMPLICIT	IMPLICIT	IMPLICIT	NA	IMPLICIT
34		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
35		NA	IMPLICIT	NA	NA	NA
36		EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT	EXPLICIT
37		IMPLICIT	NA	NA	NA	NA
38		EXPLICIT	NA	NA	NA	NA
39		NA	IMPLICIT	IMPLICIT	IMPLICIT	IMPLICIT
40		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
41		IMPLICIT	NA	EXPLICIT	NA	NA
42		EXPLICIT	EXPLICIT	EXPLICIT	IMPLICIT	EXPLICIT
43		EXPLICIT	IMPLICIT	EXPLICIT	EXPLICIT	IMPLICIT
