	prompt	prediction	gold_elin	gold_lena	gold_oscar	gold_agg
0		ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	PASSIVE
1		NA	PASSIVE	NA	NA	NA
2		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
3		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
4		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
5		NA	NA	NA	ACTIVE_NEG	NA
6		NA	NA	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
7		ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
8		NA	NA	PASSIVE	PASSIVE	PASSIVE
9		NA	NA	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
10		ACTIVE_POS_OTHER	ACTIVE_NEG	NA	ACTIVE_NEG	ACTIVE_NEG
11		NA	NA	PASSIVE	NA	NA
12		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
13		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
14		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
15		NA	NA	PASSIVE	NA	NA
16		NA	NA	NA	NA	NA
17		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
18		NA	NA	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
19		NA	NA	NA	NA	NA
20		NA	NA	PASSIVE	NA	NA
21		NA	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE
22		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
23		NA	NA	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING
24		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
25		ACTIVE_POS_CHALLENGING	NA	NA	ACTIVE_NEG	NA
26		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
27		NA	NA	NA	NA	NA
28		NA	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG
29		NA	NA	NA	PASSIVE	NA
30		NA	ACTIVE_POS_CARING	NA	NA	NA
31		NA	NA	PASSIVE	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
32		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG
33		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER
34		ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	PASSIVE	ACTIVE_POS_CHALLENGING
35		NA	ACTIVE_POS_OTHER	NA	NA	NA
36		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
37		NA	NA	NA	NA	NA
38		NA	NA	NA	NA	NA
39		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER
40		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
41		NA	NA	PASSIVE	NA	NA
42		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
43		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
44		NA	NA	NA	PASSIVE	NA
45		NA	PASSIVE	NA	PASSIVE	PASSIVE
46		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	NA	NA
47		NA	NA	PASSIVE	PASSIVE	PASSIVE
48		NA	NA	PASSIVE	NA	NA
49		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER
50		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
51		NA	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE
52		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
53		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
54		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
55		NA	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
56		NA	NA	NA	PASSIVE	NA
57		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
58		NA	NA	NA	NA	NA
59		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
60		NA	NA	ACTIVE_NEG	PASSIVE	ACTIVE_NEG
61		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING
62		NA	PASSIVE	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING
63		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING
64		NA	NA	NA	PASSIVE	NA
65		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
66		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
67		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER
68		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
69		NA	PASSIVE	ACTIVE_POS_CHALLENGING	PASSIVE	PASSIVE
70		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
71		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE
72		NA	NA	ACTIVE_NEG	NA	NA
73		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
74		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER
75		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER
76		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG
